"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"1999-10-16T11:26:52.970Z",34.4643333,-116.2256667,4.798,2.5,"mh",6,218,0.2007,0.4,"ci","ci10084586","2016-02-17T06:47:12.688Z","29km SSW of Ludlow, California","earthquake",3.73,31.61,NA,0,"reviewed","ci","ci"
"1999-10-16T11:27:53.760Z",34.37,-116.141,0.191,4.2,"ml",0,122.2,0.1932,0.231,"ci","ci3323814","2017-02-09T15:26:22.779Z","26km NNW of Twentynine Palms, CA","earthquake",NA,0.578,0.178,35,"reviewed","ci","ci"
"1999-10-16T11:36:38.290Z",34.5118333,-116.2776667,4.947,3,"mh",8,123,NA,0.13,"ci","ci9108745","2016-04-02T05:28:17.148Z","26km SSW of Ludlow, CA","earthquake",1.93,31.61,NA,0,"reviewed","ci","ci"
"1999-10-16T11:38:50.250Z",34.506,-116.307,4.779,3.89,"ml",0,144.3,NA,0.227,"ci","ci9108753","2016-04-02T16:49:44.892Z","27km SSW of Ludlow, CA","earthquake",NA,NA,NA,149,"reviewed","ci","ci"
"1999-10-16T11:39:51.830Z",34.652,-116.249,4.634,2.84,"ml",0,229,0.3096,0.399,"ci","ci9108791","2016-02-16T11:17:57.931Z","11km SW of Ludlow, California","earthquake",NA,NA,NA,10,"reviewed","ci","ci"
"1999-10-16T11:47:43.910Z",34.681,-116.347,-0.023,3.78,"ml",0,175,NA,0.252,"ci","ci9108760","2016-04-02T16:49:46.357Z","18km WSW of Ludlow, CA","earthquake",NA,2.617,NA,82,"reviewed","ci","ci"
"1999-10-16T11:48:50.890Z",34.5981667,-116.2321667,5.098,2.5,"mh",8,118,0.247,0.07,"ci","ci9520946","2016-02-16T01:56:18.853Z","15km SSW of Ludlow, California","earthquake",0.87,10.8,NA,0,"reviewed","ci","ci"
"1999-10-16T11:49:58.550Z",34.711,-116.304,0.136,3.97,"ml",0,61.7,NA,0.159,"ci","ci9108803","2016-04-02T11:54:19.442Z","13km W of Ludlow, CA","earthquake",NA,1.719,0.206,157,"reviewed","ci","ci"
"1999-10-16T11:50:40.350Z",34.6781667,-116.3611667,4.484,3.2,"mh",14,87,NA,0.31,"ci","ci9108991","2016-04-01T22:06:19.088Z","19km WSW of Ludlow, CA","earthquake",0.8,28.46,NA,0,"reviewed","ci","ci"
"1999-10-16T11:51:19.280Z",34.7025,-116.3108333,4.634,3,"mh",12,183,0.265,0.18,"ci","ci9108762","2016-04-02T03:30:36.233Z","14km W of Ludlow, CA","earthquake",0.73,31.61,NA,0,"reviewed","ci","ci"
"1999-10-16T11:51:44.720Z",34.4708333,-116.2315,-1.064,3.45,"ml",17,82,NA,0.18,"ci","ci9108823","2016-04-02T01:21:05.529Z","29km SSW of Ludlow, CA","earthquake",1.13,19.54,0.235,36,"reviewed","ci","ci"
"1999-10-16T11:55:31.670Z",34.564,-116.284,-1.314,3,"mh",0,201,NA,0.168,"ci","ci3325053","2016-04-01T21:32:01.613Z","21km SSW of Ludlow, CA","earthquake",NA,1.669,NA,0,"reviewed","ci","ci"
"1999-10-16T11:55:37.570Z",34.444,-116.264,0.178,3.88,"ml",0,83.6,NA,0.157,"ci","ci9108771","2016-04-02T15:03:57.698Z","32km SSW of Ludlow, CA","earthquake",NA,0.611,NA,149,"reviewed","ci","ci"
"1999-10-16T11:56:29.620Z",34.6603333,-116.2785,4.425,2.5,"mh",6,197,NA,0.3,"ci","ci9519814","2016-02-16T01:56:20.065Z","13km WSW of Ludlow, California","earthquake",2.35,27.85,NA,0,"reviewed","ci","ci"
"1999-10-16T11:57:04.020Z",34.5668333,-116.1658333,4.694,2.5,"mh",5,165,0.2981,0.52,"ci","ci9519818","2016-02-16T18:35:47.934Z","17km S of Ludlow, California","earthquake",3.64,44.72,NA,0,"reviewed","ci","ci"
"1999-10-16T12:03:18.390Z",34.7218333,-116.2973333,-1.374,4.25,"ml",23,55,NA,0.24,"ci","ci9108831","2016-04-01T22:07:09.359Z","13km W of Ludlow, CA","earthquake",0.45,2.6,0.189,148,"reviewed","ci","ci"
"1999-10-16T12:03:34.960Z",34.6513333,-116.2966667,4.983,3.5,"mh",10,71,NA,0.33,"ci","ci9109017","2016-04-02T11:07:45.141Z","15km WSW of Ludlow, CA","earthquake",0.95,31.61,NA,0,"reviewed","ci","ci"
"1999-10-16T12:04:19.320Z",34.609,-116.274,-1.302,2.5,"mh",0,172.7,NA,0.219,"ci","ci9108789","2016-04-01T19:42:52.637Z","16km SW of Ludlow, CA","earthquake",NA,2.192,NA,0,"reviewed","ci","ci"
"1999-10-16T12:05:42.600Z",34.5443333,-116.2543333,5.828,2.5,"mh",7,115,0.2629,0.21,"ci","ci3321162","2016-02-16T01:56:23.027Z","22km SSW of Ludlow, California","earthquake",1.08,17.29,NA,0,"reviewed","ci","ci"
"1999-10-16T12:11:43.920Z",34.5916667,-116.2783333,-0.913,2.7,"mh",9,113,NA,0.14,"ci","ci9108790","2016-04-02T05:27:34.184Z","18km SW of Ludlow, CA","earthquake",3.74,7.01,NA,0,"reviewed","ci","ci"
"1999-10-16T12:13:03.640Z",34.624,-116.297,2.099,3.44,"ml",0,167.6,NA,0.145,"ci","ci9108794","2016-04-01T21:31:20.836Z","16km SW of Ludlow, CA","earthquake",NA,3.707,NA,11,"reviewed","ci","ci"
"1999-10-16T12:14:11.780Z",34.6823333,-116.3628333,0.086,3.56,"ml",28,108,NA,0.15,"ci","ci9109053","2016-04-02T14:14:07.781Z","19km WSW of Ludlow, CA","earthquake",0.35,1.13,0.151,179,"reviewed","ci","ci"
"1999-10-16T12:15:08.670Z",34.6028333,-116.2885,-1.234,3.67,"ml",32,45,NA,0.15,"ci","ci9108846","2016-04-02T14:14:10.760Z","18km SW of Ludlow, CA","earthquake",0.29,0.69,0.206,52,"reviewed","ci","ci"
"1999-10-16T12:20:22.280Z",34.5576667,-116.267,-0.542,3.12,"ml",9,95,0.2725,0.09,"ci","ci9108815","2016-04-01T18:52:49.150Z","21km SSW of Ludlow, CA","earthquake",0.94,1.14,0.113,3,"reviewed","ci","ci"
"1999-10-16T12:20:58.780Z",34.5468333,-116.2815,5.618,2.5,"mh",6,162,0.259,0.07,"ci","ci9520942","2016-02-15T23:33:33.809Z","22km SSW of Ludlow, California","earthquake",1.06,11.02,NA,0,"reviewed","ci","ci"
"1999-10-16T12:37:19.650Z",34.5388333,-116.3048333,-1.314,3.74,"ml",25,57,NA,0.16,"ci","ci9108864","2016-04-02T01:21:07.936Z","24km SSW of Ludlow, CA","earthquake",0.41,1.03,0.196,134,"reviewed","ci","ci"
"1999-10-16T12:38:04.590Z",34.565,-116.2851667,-0.341,2.8,"mh",13,115,NA,0.14,"ci","ci3321293","2016-04-02T11:20:41.651Z","21km SSW of Ludlow, CA","earthquake",0.44,0.67,0.453,0,"reviewed","ci","ci"
