publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p858307,earthquake,2016-11-13T13:46:15.417Z,2017-07-07T04:37:08.283Z,173.6315765,-42.15080643,4.284513558,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,50,29,21,0.273765564,112.9612961,0.796762681,0
2016p858309,earthquake,2016-11-13T13:46:51.007Z,2017-07-07T04:57:47.209Z,173.2125549,-42.51102066,4.135344083,13.08431721,M,,LOCSAT,confirmed,manual,iasp91,32,17,8,0.159798592,102.7318573,0.66842249,0
2016p858323,earthquake,2016-11-13T13:54:39.280Z,2017-07-13T21:52:25.861Z,174.0606384,-42.33499527,4.532750405,8.568597794,M,,LOCSAT,confirmed,manual,iasp91,48,34,15,0.294770747,125.0690231,1.155060445,0
2016p858327,earthquake,2016-11-13T13:56:42.490Z,2017-07-13T22:15:59.663Z,172.7759094,-42.64139175,4.149212513,11.20367908,M,,LOCSAT,confirmed,manual,iasp91,70,49,12,0.062411807,71.50853348,0.70999256,0
2016p858330,earthquake,2016-11-13T13:58:36.141Z,2017-07-14T03:38:50.313Z,173.5831604,-42.22372437,4.014297845,8,M,operator assigned,LOCSAT,confirmed,manual,iasp91,33,18,15,0.194907084,112.0281715,0.68138195,0
2016p858331,earthquake,2016-11-13T13:58:57.362Z,2017-07-14T05:06:53.103Z,173.3216705,-42.54875565,3.528456416,14.79888058,M,,LOCSAT,confirmed,manual,iasp91,18,10,7,0.208438516,122.0355606,0.752399512,0
2016p858332,earthquake,2016-11-13T13:59:42.681Z,2017-07-18T23:34:02.469Z,173.4058685,-42.55233002,4.376669416,11.92970848,M,,LOCSAT,confirmed,manual,iasp91,47,25,13,0.240295038,136.8579636,0.907184948,0
2016p858334,earthquake,2016-11-13T14:00:27.531Z,2017-07-19T03:04:15.370Z,173.8656921,-42.04532242,4.259083295,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,35,21,7,0.124349177,149.5543098,0.86600217,0.278772775
2016p858335,earthquake,2016-11-13T14:01:23.031Z,2017-07-19T03:48:39.841Z,173.6488647,-42.02679062,4.186603543,9.78265667,M,,LOCSAT,confirmed,manual,iasp91,42,25,15,0.257888734,117.6978836,1.327094857,0
2016p858338,earthquake,2016-11-13T14:04:03.942Z,2017-07-20T05:47:14.802Z,173.3104095,-42.42387772,4.427011559,27.06696129,M,,LOCSAT,confirmed,manual,iasp91,23,19,5,0.169427216,93.31472015,0.980648687,0
2016p858340,earthquake,2016-11-13T14:04:23.670Z,2017-07-20T04:52:07.257Z,173.0162811,-42.59799576,5.140240672,11.86807919,M,,LOCSAT,confirmed,manual,iasp91,59,44,8,0.034906901,56.95903778,0.700700796,0
2016p858341,earthquake,2016-11-13T14:05:20.899Z,2017-07-21T02:35:49.122Z,173.9133453,-42.25891495,4.371502389,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,41,23,14,0.239171892,156.2490997,0.889790152,0
2016p858343,earthquake,2016-11-13T14:06:26.770Z,2017-07-21T03:00:25.840Z,173.7006836,-42.17938995,3.842743306,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,26,15,6,0.246645123,139.0431786,1.343709922,0
2016p858347,earthquake,2016-11-13T14:07:23.088Z,2017-07-21T03:20:00.137Z,172.777359,-42.67722321,4.758805722,8.511013985,M,,LOCSAT,confirmed,manual,iasp91,57,36,18,0.029324571,46.58935547,0.745849401,0
2016p858352,earthquake,2016-11-13T14:08:42.593Z,2017-07-21T04:41:05.500Z,172.7860413,-42.65197372,4.665203958,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,31,18,11,0.108094767,60.33665466,0.610868165,0
2016p858368,earthquake,2016-11-13T14:19:05.270Z,2017-07-24T02:55:35.323Z,173.6955261,-42.30797195,4.307418259,14.95489407,M,,LOCSAT,confirmed,manual,iasp91,50,32,32,0.158474863,141.8226929,0.824848811,0
